Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-12-27 14:12:58,false,"Eindhoven Running","10.33","658","01:01:26","133","143","3.3","164","172","5:57","4:12","32","22","1.03","9.0","9.3","275","5:55","--","--","278","0.0","--","277","426","--","--","--","10,024","--","--","-14","--","No","00:01:55.3","11","--","28","19","34","--","--","--","--","--","01:01:24","01:01:26","12","30"
Indoor Cycling,2025-12-26 16:42:49,false,"Indoor Cycling","10.79","220","00:25:03","119","132","2.4","--","--","25.8","26.1","--","--","--","--","--","--","--","79","87","125","17.8","125","124","131","2003","--","--","--","--","--","-4","--","No","00:01:48.7","3","--","--","--","--","--","--","--","--","--","00:25:01","00:25:03","--","--"
Running,2025-12-24 12:54:56,false,"Eindhoven Running","5.56","379","00:34:15","138","150","3.0","163","174","6:10","5:22","36","16","0.99","9.1","9.1","276","6:06","--","--","283","0.0","--","279","353","--","--","--","5,620","--","--","-9","--","No","00:03:30.0","6","--","30","20","40","--","--","--","--","--","00:34:09","00:35:22","8","29"
Running,2025-12-20 17:55:23,false,"Eindhoven Running","5.19","366","00:31:26","143","151","3.1","162","170","6:03","4:44","29","9","1.02","9.0","9.2","274","5:59","--","--","280","0.0","--","276","356","--","--","--","5,114","--","--","-6","--","No","00:01:10.3","6","--","--","--","--","--","--","--","--","--","00:31:11","00:31:51","-0","29"
Indoor Cycling,2025-12-16 20:28:28,false,"Indoor Cycling","13.31","269","00:30:46","122","130","2.2","--","--","26.0","26.3","--","--","--","--","--","--","--","81","87","123","17.7","125","123","129","2503","--","--","--","--","--","-3","--","No","00:07:45.1","3","--","--","--","--","--","--","--","--","--","00:30:41","00:30:46","--","--"
Strength Training,2025-12-15 18:06:02,false,"Strength","0.00","124","00:21:06","102","123","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","324","162","8","--","--","No","00:21:06","1","--","--","--","--","--","--","--","--","--","00:09:29.2","00:46:19","--","--"
Strength Training,2025-12-14 11:24:10,false,"Strength","0.00","61","00:10:12","101","116","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","6","3","1","-1","--","No","00:10:12","1","--","--","--","--","--","--","--","--","--","00:10:12","00:10:12","--","--"
Indoor Cycling,2025-12-14 10:56:32,false,"Indoor Cycling","10.65","221","00:25:05","117","130","2.0","--","--","25.5","26.2","--","--","--","--","--","--","--","78","86","126","42.9","121","124","135","1958","--","--","--","--","--","-5","--","No","00:01:29.1","3","--","--","--","--","--","--","--","--","--","00:24:35","00:25:50","--","--"
Running,2025-12-07 09:05:30,false,"Valencia Running","42.63","2,800","03:34:48","161","170","5.0","171","181","5:02","4:07","105","101","1.16","8.1","9.4","253","5:02","--","--","323","0.0","--","321","447","--","--","--","36,740","--","--","-42","--","No","00:02:56.2","43","--","34","21","44","--","--","--","--","--","03:34:40","03:34:48","-1","33"
Running,2025-12-06 09:07:48,false,"Valencia Running","5.01","348","00:30:48","138","149","2.8","162","169","6:09","5:27","12","26","1.00","9.2","9.3","280","6:12","--","--","258","0.0","--","256","339","--","--","--","4,976","--","--","-9","--","No","00:00:02.3","6","--","--","--","--","--","--","--","--","--","00:30:45","00:30:48","4","19"
Running,2025-12-04 19:13:34,false,"Valencia Running","6.07","394","00:34:13","138","158","3.1","161","177","5:38","4:16","24","21","1.10","8.9","9.7","274","5:38","--","--","303","0.0","--","299","408","--","--","--","5,512","--","--","-7","--","No","00:00:23.3","7","--","27","16","35","--","--","--","--","--","00:34:12","00:37:46","3","19"
Running,2025-12-02 18:35:14,false,"Eindhoven Running","5.03","344","00:29:28","140","155","3.0","163","177","5:51","3:53","23","9","1.04","9.0","9.3","274","5:50","--","--","287","0.0","--","285","432","--","--","--","4,798","--","--","-5","--","No","00:00:14.6","14","--","--","--","--","--","--","--","--","--","00:29:22","00:31:22","5","23"
Running,2025-11-30 18:15:47,false,"Eindhoven Running","12.02","764","01:08:19","136","143","3.4","163","169","5:41","4:15","37","22","1.08","8.9","9.6","273","5:40","--","--","293","0.0","--","292","428","--","--","--","11,098","--","--","-11","--","No","00:00:11.0","13","--","28","14","38","--","--","--","--","--","01:08:16","01:10:14","4","28"
Running,2025-11-29 10:13:05,false,"Eindhoven Running","5.12","353","00:29:30","146","169","3.1","165","186","5:46","3:10","24","13","1.05","8.9","9.3","271","5:46","--","--","291","0.0","--","287","492","--","--","--","4,814","--","--","-7","--","No","00:00:01.8","17","--","--","--","--","--","--","--","--","--","00:29:22","00:29:30","12","23"
Running,2025-11-26 19:14:10,false,"Eindhoven Running","8.03","521","00:42:57","143","159","3.5","166","174","5:21","4:12","33","14","1.13","8.5","9.6","264","5:19","--","--","312","0.0","--","308","401","--","--","--","7,134","--","--","-8","--","No","00:00:10.9","9","--","31","25","41","--","--","--","--","--","00:42:54","00:43:48","-1","29"
Strength Training,2025-11-25 19:33:57,false,"Strength","0.00","54","00:19:06","75","111","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","62","31","4","--","--","No","00:19:06","1","--","--","--","--","--","--","--","--","--","00:12:15","00:19:06","--","--"
Running,2025-11-25 18:44:59,false,"Eindhoven Running","5.07","332","00:30:24","131","137","2.6","164","174","6:00","4:43","19","10","1.02","9.1","9.2","275","5:58","--","--","279","0.0","--","278","366","--","--","--","4,970","--","--","-6","--","No","00:00:23.1","6","--","--","--","--","--","--","--","--","--","00:30:23","00:30:26","6","24"
Running,2025-11-23 09:39:02,false,"Eindhoven Running","32.04","2,099","03:16:17","137","151","4.8","165","179","6:08","3:59","159","125","0.99","8.9","8.8","270","6:05","--","--","277","0.0","--","270","421","--","--","--","32,456","--","--","-35","--","No","00:00:12.6","33","--","32","22","42","--","--","--","--","--","03:15:55","03:16:17","-11","31"
Running,2025-11-22 10:10:19,false,"Eindhoven Running","5.02","346","00:30:22","138","144","2.8","167","174","6:03","5:28","24","14","0.99","9.0","9.0","272","6:01","--","--","276","0.0","--","273","366","--","--","--","5,060","--","--","-8","--","No","00:00:05.8","6","--","--","--","--","--","--","--","--","--","00:30:21","00:30:22","9","25"
Running,2025-11-20 19:29:24,false,"Eindhoven - 2x3k MP","10.04","657","00:53:36","148","162","3.9","164","173","5:20","4:45","30","18","1.13","8.5","9.6","264","5:20","--","--","306","0.0","--","302","420","--","--","--","8,864","--","--","-11","--","No","00:00:14.2","11","--","30","17","43","--","--","--","--","--","00:53:28","00:55:43","-1","27"
Strength Training,2025-11-19 21:36:49,false,"Strength","0.00","151","00:35:37","89","122","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","112","56","10","-2","--","No","00:35:37","1","--","--","--","--","--","--","--","--","--","00:25:52","00:35:37","--","--"
