Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2025-12-22 18:41:49,false,"CrossFit","0.00","447","00:29:29","158","191","3.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,766","--","--","-9","--","No","00:29:29","1","--","--","--","--","00:00:00","00:38:21","--","--"
Running,2025-12-16 19:55:04,false,"Eindhoven Carrera","7.07","638","00:43:46","158","175","3.6","157","236","6:11","4:02","6","6","1.02","8.2","8.4","269","6:08","374","0.0","348","598","--","--","--","6,954","--","--","-7","--","No","00:00:23.1","8","--","--","--","--","00:42:29","00:43:46","14","20"
Cardio,2025-12-15 17:43:50,false,"CrossFit","0.00","417","00:31:22","147","184","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,280","--","--","-7","--","No","00:31:22","1","--","--","--","--","00:00:00","00:42:24","--","--"
Running,2025-12-14 08:17:09,false,"Eindhoven Carrera","7.03","595","00:37:41","161","179","4.1","167","184","5:22","4:00","8","7","1.11","7.9","8.8","256","5:20","416","0.0","407","588","--","--","--","6,344","--","--","-11","--","No","00:00:09.9","8","--","--","--","--","00:36:55","00:37:41","12","18"
Cardio,2025-12-11 19:39:24,false,"CrossFit","0.00","541","00:36:50","157","191","3.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,596","--","--","-7","--","No","00:36:50","1","--","--","--","--","00:00:00","00:36:50","--","--"
Cardio,2025-12-09 19:41:26,false,"CrossFit","0.00","461","00:34:04","148","191","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,578","--","--","-6","--","No","00:34:04","1","--","--","--","--","00:00:00","00:35:43","--","--"
Running,2025-12-07 09:53:05,false,"Eindhoven Carrera","11.92","1,135","01:23:14","151","174","4.2","152","247","6:59","1:50","28","36","0.94","8.8","8.2","275","6:58","344","0.0","311","1,112","--","--","--","13,010","--","--","-16","--","No","00:05:42.8","12","--","--","--","--","01:18:26","01:23:14","12","25"
Cardio,2025-12-04 17:40:33,false,"CrossFit","0.00","496","00:30:47","168","187","4.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,200","--","--","-7","--","No","00:30:47","1","--","--","--","--","00:00:00","00:33:41","--","--"
Running,2025-12-03 19:47:08,false,"Eindhoven Carrera","5.19","457","00:29:40","162","177","3.9","167","197","5:43","2:28","12","12","1.03","8.4","8.6","266","5:44","385","0.0","378","838","--","--","--","4,970","--","--","-5","--","No","00:00:48.1","6","--","--","--","--","00:29:31","00:29:40","9","14"
Cardio,2025-12-02 19:41:06,false,"CrossFit","0.00","404","00:30:23","145","184","3.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,788","--","--","-5","--","No","00:30:23","1","--","--","--","--","00:00:00","00:30:23","--","--"
Running,2025-11-19 19:41:33,false,"Eindhoven Carrera","8.59","753","00:48:23","163","174","4.3","168","179","5:38","3:57","18","20","1.05","8.3","8.7","264","5:38","400","0.0","394","659","--","--","--","8,188","--","--","-1","--","No","00:03:38.3","9","--","--","--","--","00:48:21","00:48:23","7","19"
Cardio,2025-11-18 20:41:31,false,"CrossFit","0.00","433","00:30:02","154","184","3.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,282","--","--","-5","--","No","00:30:02","1","--","--","--","--","00:00:00","00:30:02","--","--"
Running,2025-11-17 13:05:11,false,"Eindhoven Carrera","6.40","546","00:33:20","168","186","4.5","166","181","5:12","4:01","21","30","1.16","7.9","9.1","257","5:11","430","0.0","421","605","--","--","--","5,558","--","--","-9","--","No","00:02:18.4","7","--","--","--","--","00:33:07","00:33:20","5","19"
Running,2025-11-12 19:50:59,false,"Eindhoven Carrera","7.92","721","00:42:37","178","189","5.0","169","179","5:23","3:39","15","17","1.10","8.1","8.9","262","5:23","414","0.0","408","641","--","--","--","7,186","--","--","-6","--","No","00:04:43.7","8","--","--","--","--","00:42:36","00:42:37","8","15"
Running,2025-10-31 19:51:10,false,"Eindhoven Carrera","4.29","425","00:31:28","148","167","2.9","150","180","7:20","4:33","2","2","0.91","9.1","8.3","281","7:19","326","0.0","302","511","--","--","--","4,734","--","--","-4","--","No","00:02:02.4","5","--","--","--","--","00:28:41","00:37:50","19","23"
Running,2025-10-29 19:45:33,false,"Eindhoven Carrera","7.98","643","00:37:55","168","185","4.9","173","183","4:45","3:36","13","15","1.21","7.5","9.1","245","4:45","468","0.0","464","608","--","--","--","6,548","--","--","-13","--","No","00:04:36.9","8","--","--","--","--","00:37:50","00:37:55","9","18"
Cardio,2025-10-28 20:40:38,false,"CrossFit","0.00","388","00:30:26","144","200","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,174","--","--","-7","--","No","00:30:26","1","--","--","--","--","00:00:00","00:39:24","--","--"
Running,2025-10-25 10:11:10,false,"Eindhoven Carrera","4.99","451","00:29:16","159","172","3.5","170","181","5:52","4:40","12","13","1.01","8.4","8.5","265","5:51","387","0.0","384","491","--","--","--","4,972","--","--","-6","--","No","00:05:41.7","5","--","--","--","--","00:29:12","00:29:16","14","21"
Cardio,2025-10-21 20:40:39,false,"CrossFit","0.00","414","00:29:01","151","192","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,796","--","--","-8","--","No","00:29:01","1","--","--","--","--","00:00:00","00:36:46","--","--"
